String,Introduced,WHOIS Directory Service,Contacts
.aaa,2015,http://whois.nic.aaa/,"American Automobile Association, Inc.;1000 AAA Drive;Heathrow, Florida 32746;US;Tel: +1 407 444 7000;Fax: +1 407 444 7380;Email: internet.operations@national.aaa.com;http://www.aaa.com"
.aarp,2015,https://whois.nic.aarp/,"AARP;601 E Street Northwest;Washington, District of Columbia 20049;US;Tel: +01 202 434 2277;Fax: http://nic.aarp/"
.abarth,2015,https://whois.nic.abarth/,"Fiat Chrysler Automobiles N.V.;25 St. James's Street;London, n/a SW1A 1HA;GB;Tel: +44 207 766 0311;Fax: +44 207 925 1756;Email: ngtld-abarth@cscglobal.com;www.fcagroup.com"
.abb,2014,http://whois.nic.abb/,"ABB;Affolternstrasse 44;Zurich, n/a 8050;CH;Tel: +41 58 585 56 34;Fax: +41 58 585 76 55;Email: ngtld-abb@cscinfo.com;http://abb.com"
.abbott,2014,https://whois.nic.abbott/,"Abbott Laboratories, Inc.;100 Abbott Park Road;Abbott Park, Illinois 60064;US;Tel: +1 (224) 667-6100;Fax: http://www.nic.abbott"
.abbvie,2015,http://whois.nic.abbvie/,"AbbVie Inc.;1 N. Waukegan Road;North Chicago, IL 60064;US;Tel: +1 847 932 7900;Fax: nic.abbvie"
.abc,2015,https://whois.nic.abc/,"Disney Enterprises, Inc.;500 South Buena Vista Street;Burbank, California 91521;US;Tel: +01 818 560 1000;Fax: +01 818 553 7210;Email: ngtld-abc@cscglobal.com;http://nic.abc"
.able,2015,https://whois.nic.able/,"c/o Interlink Co., Ltd;Able Inc.;3-1-1 Higashi Ikebukuro Sunshine 60 Bldg. 37th Fl.;Toshima, Tokyo 170-6037;JP;Tel: +815058061875;Email: able-registry@interlink.ad.jp;http://nic.able"
.abogado,2014,https://whois.nic.abogado/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, . 2;IE;Tel: +353 (0)1 677 8933;Fax: mm-registry.com"
.abudhabi,2015,https://whois.nic.abudhabi/,"Abu Dhabi Systems and Information Centre;Nation Tower, 6th Floor;Abu Dhabi, Abu Dhabi 3133;AE;Tel: +971 2 6717000;Fax: +971 2 6717333 http://adsic.abudhabi.ae"
.academy,2013,http://whois.nic.academy/,"Half Oaks, LLC (Donuts, Inc.);Half Oaks, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.accenture,2014,https://whois.nic.accenture/,"Accenture plc;1 Grand Canal Square,Grand Harbour;Dublin, Dublin 2;IE;Tel: +1 (353) (1) 646-2000;Fax: n/a http://www.accenture.com"
.accountant,2014,https://whois.nic.accountant/,"dot Accountant Limited;dot Accountant Limited;6A Queensway;Gibraltar, Gibraltar GX11 1AA;GI;Tel: +350 216 50000;Fax: +35020051071;Email: icanntas58@famousfourmedia.com;www.famousfourmedia.com"
.accountants,2014,http://whois.nic.accountants/,"Donuts Inc.;Knob Town, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.aco,2015,https://whois.nic.aco/,"ACO Severin Ahlmann GmbH & Co. KG;Am Ahlmannkai;Buedelsdorf, Schleswig-Holstein 24782;DE;Tel: +49 4331 3540;Fax: http://www.aco.com"
.active,2014,https://whois.nic.active/,"The Active Network, Inc;Active Network, LLC;2 La Touche House IFSC;Dublin, n/a 1;IE;Tel: + 353 18541100;Fax: + 353 17918569;Email: ltdprimary@afilias.info;http://www.activenetwork.com"
.actor,2013,https://whois.nic.actor/,"United TLD Holdco Ltd;United TLD Holdco Ltd;One Clarendon row;Dublin, None 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.adac,2015,https://whois.nic.adac/,"Allgemeiner Deutscher Automobil-Club e.V. (ADAC);Hansastrasse 19;Munchen, Bavaria 80686;DE;Tel: +49 89 76 76 0;Email: tldadac@adac.de;https://nic.adac"
.ads,2014,https://whois.nic.ads/,"Charleston Road Registry;Charleston Road Registry Inc.;1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.adult,2014,https://whois.nic.adult/,"ICM Registry;ICM Registry AD LLC;P.O. Box 30129;Palm Beach Gardens, FL 33420;US;Tel: (877) 809-3182;www.icmregistry.com"
.aeg,2015,https://whois.nic.aeg/,"Electrolux;S:t Göransgatan 143;Stockholm, n/a 10545;SE;Tel: +4687386000;http://nic.aeg"
.aero,2002,https://information.aero/whois/,"SITA;26 Chemin de Joinville;Cointrin Geneva, Geneva 1216;CH;Tel: +41 22 747 60 00;Fax: +41 22 747 63 33;Email: aero.enquiries@sita.aero;https://www.information.aero"
.aetna,2015,http://whois.nic.aetna/,"Domain Administrator;Aetna Life Insurance Company;151 Farmington Avenue;Hartford, Connecticut 06156;US;Tel: +011 860 273 0123;Fax: +011 860 273 8340;Email: domains@aetna.com;http://www.aetna.com"
.afamilycompany,2015,http://whois.nic.afamilycompany/,"Johnson Shareholdings, Inc.;1521 Howe Street;Racine, Wisconsin 53403;US;Tel: +1 262 260 2620;http://nic.afamilycompany"
.afl,2014,https://whois.nic.afl/,"Australian Football League;140 Harbour Esplanade;Docklands, Victoria 3008;AU;Tel: +61 3 9643 1999;http://www.afl.com.au"
.africa,2014,https://whois.nic.africa/,"Neil Dundas;Registry.Africa;COZA House, Gazelle CloseCorporate Park South;Midrand, Gauteng 1685;ZA;Tel: +27 11 314 0077;Fax: +27 11 314 0088;Email: info@registry.net.za;http://www.africainonespace.org"
.agakhan,2015,https://whois.nic.agakhan/,"Fondation Aga Khan (Aga Khan Foundation);1 - 3 avenue de la Paix;Geneva, n/a 1202;CH;Tel: +41 22 909 7200;Fax: +41 22 909 7291;Email: akftld.agakhan@akdn.org;http://www.akdn.org"
.agency,2013,https://whois.donuts.co,"Steel Falls, LLC;Steel Falls, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.aig,2014,http://whois.nic.aig/,"American International Group, Inc.;80 Pine Street, 30th Floor;New York, New York 10005;US;Tel: +1 212 770 7000;http://www.nic.aig"
.aigo,2015,https://whois.nic.aigo/,"aigo Digital Technology Co,Ltd.;1st Floor East Gymnasium of the National Olympic Sports Center, No.1 ANDING Road, ChaoYang District;beijing, Beijing 100100;CN;Tel: +86 010 62606666;Fax: +86 010 62606123;Email: dingjiyuming@huaqi.com;http://en.aigo.com/"
.airbus,2015,http://whois.nic.airbus/,"Airbus;1 rond point Maurice Bellonte;Blagnac, n/a 31700;FR;Tel: +33 561933333;http://nic.airbus"
.airforce,2014,https://whois.nic.airforce/,"United TLD Holdco Ltd.;United TLD Holdco Ltd.;One Clarendon row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.airtel,2014,https://whois.nic.airtel/,"Bharti Airtel Limited;Bharti Airtel Limited;Bharti Crescent1, Nelson Mandel Road, Vasant Kunj, Phase II;New Delhi, Delhi 110070;IN;Tel: +91 1141666100;http://www.airtel.in"
.akdn,2015,https://whois.nic.akdn/,"Fondation Aga Khan (Aga Khan Foundation);1 - 3 avenue de la Paix;Geneva, n/a 1202;CH;Tel: +41 22 909 7200;Fax: +41 22 909 7291;Email: akftld.akdn@akdn.org;http://www.akdn.org"
.alfaromeo,2015,https://whois.nic.alfaromeo/,"Fiat Chrysler Automobiles N.V.;25 St. James's Street;London, n/a SW1A 1HA;GB;Tel: +44 207 766 0311;www.fcagroup.com"
.alibaba,2015,https://whois.nic.alibaba/,"Timothy Alexander Steinert;Alibaba Group Holding Limited;Fourth Floor, One Capital Place, P.O.Box 847;George Town, Grand Cayman KY1-1103;KY;Tel: + 852 22155100;Fax: + 852 22155200;Email: newgtld@hk.alibaba-inc.com;http://www.alibabagroup.com/en/global/home"
.alipay,2015,https://whois.nic.alipay/,"Timothy Alexander Steinert;Alibaba Group Holding Limited;Fourth Floor, One Capital Place, P.O.Box 847;George Town, Grand Cayman KY1-1103;KY;Tel: + 852 22155100;Fax: + 852 22155200;Email: newgtld@hk.alibaba-inc.com;http://www.alibabagroup.com/en/global/home"
.allfinanz,2014,https://whois.nic.allfinanz/,"Allfinanz Deutsche Vermögensberatung Aktiengesellschaft;Münchener Strasse 1;Frankfurt am Main, Hesse 60329;DE;Tel: +49.692992060;Email: mail@allfinanz-registry.de;http://www.allfinanz-registry.de"
.allstate,2015,https://whois.nic.allstate/,"Allstate Fire and Casualty Insurance Company;3075 Sanders Road Suite H1A;Northbrook, Illinois 60062-7127;US;Tel: +1 847 402 5000;Fax: +1 847 326 7524;Email: ngtld-allstate@cscglobal.com;http://nic.allstate"
.ally,2015,https://whois.nic.ally/,"Ally Financial Inc.;200 Renaissance Center;Detroit, Michigan 48265;US;Tel: 1 313 656 6301;Fax: 1 704 444 4756;Email: allynewgtlds@cscinfo.com;http://www.ally.com"
.alsace,2014,https://whois.nic.alsace/,"Region Grand Est;1, Place Adrien Zeller;Strasbourg, Alsace 67070;FR;Tel: +33 3 88 15 67 68;Fax: +33 3 88 15 68 15;Email: contact@point-alsace.com;http://www.alsacechampagneardennelorraine.eu/"
.alstom,2015,https://whois.nic.alstom/,"Jean-François Vanden Eynde;ALSTOM;3 Avenue André Malraux;Levallois-Perret, None 92300;FR;Tel: +33 1 41 49 20 00;Fax: +33 1 41 49 79 35;Email: alstom-tld@nameshield.net;http://www.alstom.com"
.americanexpress,2015,http://whois.nic.americanexpress/,"American Express Travel Related Services Company, Inc.;200 Vesey Street;New York, New York 10285;US;Tel: +01 212 640 2000;http://americanexpress.com"
.americanfamily,2015,http://whois.nic.americanfamily/,"AmFam, Inc.;6000 American Parkway;Madison, Wisconsin 53783-0001;US;Tel: +1 608 249 2111;http://nic.americanfamily"
.amex,2015,http://whois.nic.amex/,"American Express Travel Related Services Company, Inc.;200 Vesey Street;New York, New York 10285;US;Tel: +01 212 640 2000;http://americanexpress.com"
.amfam,2015,http://whois.nic.amfam/,"AmFam, Inc.;6000 American Parkway;Madison, Wisconsin 53783-0001;US;Tel: +1 608 249 2111;http://nic.amfam"
.amica,2015,https://whois.nic.amica/,"Amica Mutual Insurance Company;100 Amica Way;Lincoln, Rhode Island 02865-1167;US;Tel: +01 800 652 6422;Fax: +01 401 334 3574;Email: cphelps@amica.com;http://www.amica.com"
.amsterdam,2014,https://whois.nic.amsterdam/,"Gemeente Amsterdam;Amstel 1;Amsterdam, NH 1011PN;NL;Tel: +31205523262;Fax: +31205522214;Email: registry@dotamsterdam.nl;http://www.dotamsterdam.nl"
.analytics,2014,https://whois.nic.analytics/,"Registry Operations Manager;Campus IP LLC;100 Matrix Drive, Box 8000;Cary, North Carolina 27513;US;Tel: +1 919 677 8000;Fax: +1 919 677 4444;Email: gtldinfo@sas.com;www.nic.analytics"
.android,2014,https://whois.nic.android/,"Charleston Road Registry;Charleston Road Registry Inc.;1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.anquan,2015,https://whois.nic.anquan/,"QIHOO 360 TECHNOLOGY CO. LTD.;R202, Block C1, Huitong Times PlazaNo. 71 Jianguo Road, Chaoyang District;Beijing, none 100025;CN;Tel: +86 10 5878 1524;Fax: +86 10 5878 1411;Email: newgtld@360.cn;http://www.360.cn"
.anz,2015,https://whois.nic.anz/,"Australia and New Zealand Banking Group Limited;ANZ Centre Melbourne, Level 9, 833 Collins St;Docklands, Victoria 3008;AU;Tel: +61 3 9273 5555;Email: ngtld-anz@cscinfo.com;http://www.anz.com"
.aol,2015,https://whois.nic.aol/,"AOL Inc.;770 Broadway;New York, New York 10003;US;Tel: +1 212 206 4400;http://corp.aol.com"
.apartments,2014,https://whois.donuts.co,"Donuts Inc.;June Maple, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: (424) 254-8537;Fax: (425) 671-0020;Email: info@donuts.email;http://www.donuts.domains"
.app,2015,https://whois.nic.app/,"Charleston Road Registry;Charleston Road Registry Inc.;1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
